"n","Clear Image (ms)","Render Bodies (ms)","Render Quadtree (ms)","Write Image (ms)","First Kick (ms)","Drift (ms)","Update Acceleration (ms)","Second Kick (ms)"
0,1.516819,0.612020,0.000000,0.000000,0.031948,0.029802,33.142090,0.043154
1,0.430107,0.602961,0.000000,0.000000,0.026941,0.027895,33.593178,0.040054
2,0.468969,0.429869,0.000000,0.000000,0.024080,0.026941,32.801151,0.041962
3,0.610113,0.576019,0.000000,0.000000,0.043869,0.053883,34.111977,0.042915
4,0.589132,0.319958,0.000000,0.000000,0.025034,0.027180,39.991140,0.042200
5,0.603914,0.437975,0.000000,0.000000,0.025034,0.029087,40.724039,0.041962
6,0.608206,0.466108,0.000000,0.000000,0.038147,0.041008,32.171965,0.043869
7,0.575066,0.436783,0.000954,0.000000,0.025988,0.038147,33.218861,0.044107
8,0.497818,0.344992,0.000000,0.000000,0.024080,0.026941,30.184984,0.044107
9,0.455856,0.290871,0.000000,0.000000,0.032902,0.030041,28.748035,0.049114
10,0.494957,0.381947,0.000000,0.000000,0.039101,0.045061,36.556005,0.036955
11,0.447989,0.380993,0.000000,0.000000,0.041962,0.058889,36.828995,0.040054
12,0.526905,0.436068,0.000000,0.000000,0.040054,0.050068,33.641100,0.041962
13,0.575066,0.458002,0.000000,0.000954,0.025034,0.029087,32.574892,0.044823
14,0.629187,0.401974,0.000000,0.000000,0.036001,0.028849,31.243086,0.042915
15,0.355959,0.354052,0.000000,0.000000,0.038147,0.031948,34.416914,0.045061
16,0.607014,0.400066,0.000000,0.000000,0.024080,0.027895,34.626961,0.043869
17,0.612020,0.394106,0.000954,0.000000,0.031948,0.029087,35.290003,0.042915
18,0.585079,0.397921,0.000000,0.000000,0.027895,0.030994,35.650015,0.044823
19,0.439882,0.365019,0.000000,0.000000,0.034094,0.030994,34.290075,0.054836
20,0.477076,0.339985,0.000000,0.000000,0.048876,0.061989,39.070129,0.044823
21,0.612974,0.416994,0.000000,0.000000,0.024796,0.028849,31.602144,0.045061
22,0.477076,0.274181,0.000000,0.000000,0.024080,0.026941,32.359123,0.041008
23,0.617027,0.395060,0.000000,0.000000,0.027180,0.058889,33.077955,0.041008
24,0.516891,0.291109,0.000000,0.000000,0.029087,0.029087,34.700871,0.043154
25,0.620127,0.298023,0.000000,0.000000,0.024796,0.027180,35.434961,0.041008
26,0.616789,0.465155,0.000000,0.000000,0.036001,0.030994,37.158966,0.041962
27,0.607967,0.494003,0.001192,0.000954,0.030994,0.027895,37.458897,0.041962
28,0.645876,0.392914,0.000000,0.000000,0.035048,0.029087,38.415194,0.042915
29,0.615120,0.439167,0.000000,0.000000,0.024796,0.028849,44.366121,0.041962
30,0.493050,0.394106,0.000000,0.000000,0.050783,0.042915,41.891098,0.038862
31,0.482082,0.466108,0.000000,0.000000,0.030994,0.028133,36.404848,0.042915
32,0.622988,0.427008,0.000000,0.000000,0.025034,0.026941,39.642096,0.043869
33,0.453949,0.415087,0.000000,0.000000,0.036955,0.044107,48.624039,0.042915
34,0.694990,0.471830,0.000000,0.000000,0.025988,0.027895,37.514925,0.042915
35,0.415802,0.374079,0.000000,0.000000,0.024080,0.028133,39.274931,0.042915
36,1.232862,0.658989,0.000000,0.000000,0.027180,0.027895,38.524151,0.041962
37,0.493050,0.432014,0.000000,0.000000,0.023842,0.028133,41.009903,0.042915
38,0.466108,0.431061,0.000000,0.000000,0.025034,0.026941,41.446924,0.043154
39,0.488997,0.379801,0.000000,0.000000,0.029087,0.028133,38.393021,0.042915
40,0.464201,0.809908,0.000000,0.000000,0.034094,0.030041,39.990902,0.045061
41,0.475883,0.342846,0.000000,0.000000,0.025034,0.025988,39.338112,0.043869
42,0.610113,0.488997,0.000000,0.000000,0.036955,0.029087,43.648005,0.044107
43,0.608921,0.545025,0.000000,0.000000,0.025034,0.026941,41.045904,0.042915
44,0.466824,0.369072,0.000000,0.000000,0.024796,0.027180,41.009903,0.044107
45,0.527143,0.442028,0.000000,0.000000,0.043154,0.054836,40.766954,0.042915
46,0.538111,0.299215,0.000000,0.000000,0.025034,0.027180,41.754961,0.044107
47,0.481844,0.313997,0.000000,0.000000,0.024080,0.028133,42.079926,0.045061
48,0.623941,0.424147,0.000000,0.000000,0.025988,0.030041,47.374964,0.044107
49,0.606060,0.439882,0.000000,0.000000,0.026941,0.029087,45.923948,0.036001
50,0.483036,0.447989,0.000000,0.000000,0.039101,0.028849,42.210102,0.054121
51,0.725031,0.425100,0.000000,0.000000,0.033855,0.047922,40.833950,0.042915
52,0.614166,0.435114,0.000000,0.000000,0.025034,0.028133,41.546822,0.042915
53,0.617981,0.298977,0.000000,0.000000,0.034094,0.025988,40.029049,0.044107
54,0.746965,0.326872,0.000000,0.000000,0.024080,0.026941,54.336071,0.040054
55,0.465155,0.397921,0.000000,0.000000,0.028849,0.029802,42.438984,0.042915
56,0.560045,0.452995,0.000000,0.000000,0.034094,0.045061,41.318893,0.042200
57,0.590086,0.432014,0.000000,0.000000,0.028133,0.029087,44.348001,0.039101
58,0.395060,0.289917,0.000000,0.000954,0.024080,0.026941,44.321060,0.042915
59,0.477076,0.432968,0.000000,0.000000,0.033855,0.040054,43.025017,0.042915
